kpi_metric_id,task_id,resource_ids,task_weight,resource_weight
6,21,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0.1830970776465288,"[0.04607860743999481, 0.04560540243983269, 0.06623221933841705, 0.07872113585472107, 0.05809120088815689, 0.026869511231780052, 0.05341947823762894, 0.06191534921526909, 0.048221882432699203, 0.03218291699886322, 0.057111650705337524, 0.07133373618125916, 0.027611607685685158, 0.10290049016475677, 0.034333303570747375, 0.06048515439033508, 0.050239577889442444, 0.07961904257535934, 0.05036236718297005, 0.04367457330226898]"
6,22,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0.1830454510026811,"[0.051867228001356125, 0.08802911639213562, 0.052653394639492035, 0.07747792452573776, 0.03731166571378708, 0.06354095041751862, 0.08985143899917603, 0.08490214496850967, 0.006524406373500824, 0.023288801312446594, 0.04808206856250763, 0.05575275421142578, 0.07164609432220459, 0.03921426832675934, 0.06987272202968597, 0.07789384573698044, 0.029938384890556335, 0.07656494528055191, 0.024285487830638885, 0.03735882788896561]"
6,23,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0.5099504408509475,"[0.07161957770586014, 0.051378242671489716, 0.030676770955324173, 0.051309242844581604, 0.028582783415913582, 0.07520437240600586, 0.09438062459230423, 0.05834151804447174, 0.0687141865491867, 0.05120684206485748, 0.07253918051719666, 0.02030494064092636, 0.04488804563879967, 0.051287926733493805, 0.022036893293261528, 0.07277783751487732, 0.06777038425207138, 0.015398550778627396, 0.04502986744046211, 0.020822254940867424]"
6,24,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0.1239070304998424,"[0.07893089205026627, 0.04893270879983902, 0.014865979552268982, 0.06660238653421402, 0.060572005808353424, 0.018496613949537277, 0.06937576830387115, 0.024671729654073715, 0.028174905106425285, 0.05708653852343559, 0.06504545360803604, 0.061987005174160004, 0.04257664456963539, 0.08867861330509186, 0.018169540911912918, 0.05829671025276184, 0.03706581890583038, 0.10266946256160736, 0.03718114644289017, 0.07655970752239227]"
7,25,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0.1207914597171888,"[0.03771846741437912, 0.04611129313707352, 0.05940607935190201, 0.06967104226350784, 0.05457279086112976, 0.07402501255273819, 0.06850279122591019, 0.07105398178100586, 0.06570052355527878, 0.07608585059642792, 0.09050917625427246, 0.03167863190174103, 0.06409592181444168, 0.057718757539987564, 0.013247692957520485, 0.024211766198277473, 0.04436704143881798, 0.027913369238376617, 0.06871265172958374, 0.02094968408346176]"
7,26,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0.2484164380240241,"[0.07049182057380676, 0.023876916617155075, 0.05990854650735855, 0.04739376902580261, 0.08648285269737244, 0.04069036990404129, 0.0576540045440197, 0.04139578714966774, 0.01661122962832451, 0.04209116846323013, 0.04167770966887474, 0.08832332491874695, 0.055845409631729126, 0.08043345808982849, 0.09299025684595108, 0.02841961197555065, 0.010409350506961346, 0.08879314363002777, 0.06310292333364487, 0.017245592549443245]"
7,27,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0.1315499791294312,"[0.03023577481508255, 0.03516438603401184, 0.07113800942897797, 0.06518269330263138, 0.08378379046916962, 0.07759121060371399, 0.013178184628486633, 0.048747237771749496, 0.03399930149316788, 0.028563404455780983, 0.03994368016719818, 0.08408002555370331, 0.076214499771595, 0.061157576739788055, 0.038953933864831924, 0.0750293955206871, 0.047312937676906586, 0.07072556018829346, 0.015126155689358711, 0.01965090073645115]"
7,28,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0.4992421231293557,"[0.08610599488019943, 0.0713328868150711, 0.07688924670219421, 0.02318727597594261, 0.012495569884777069, 0.037563081830739975, 0.0804096907377243, 0.04949343577027321, 0.07466691732406616, 0.06681940704584122, 0.06925573945045471, 0.028197892010211945, 0.020892944186925888, 0.018177688121795654, 0.08055821806192398, 0.06972873210906982, 0.06331277638673782, 0.007031769957393408, 0.03111906163394451, 0.09360699355602264]"
8,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0.024308592065341,"[0.046880900859832764, 0.041458599269390106, 0.07035437971353531, 0.06462841480970383, 0.014247354120016098, 0.03101193904876709, 0.07095770537853241, 0.061937667429447174, 0.041824694722890854, 0.02393612451851368, 0.01126516330987215, 0.017828674986958504, 0.09219308942556381, 0.06857327371835709, 0.048173937946558, 0.06516674906015396, 0.07589888572692871, 0.06123734265565872, 0.08331514149904251, 0.029155440628528595]"
8,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0.2897708729232794,"[0.031212346628308296, 0.0410735085606575, 0.053532518446445465, 0.0380319319665432, 0.021992620080709457, 0.022730426862835884, 0.05498829111456871, 0.016519619151949883, 0.03017907403409481, 0.03691604360938072, 0.1187942773103714, 0.10410873591899872, 0.05775010213255882, 0.052886657416820526, 0.045312874019145966, 0.03644989803433418, 0.0556521862745285, 0.07945363968610764, 0.04673296958208084, 0.07912158966064453]"
